Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,2000-12-21,Bordeaux,Nantes,0,2,A,0,1,A,1.75,2.9,5.0,1.75,2.9,3.8,2.0,3.2,3.2,1.8,3.1,4.0,1.72,3.2,4.33
F1,2000-12-21,Lille,Bastia,1,0,H,0,0,D,1.85,3.2,3.5,1.9,2.8,3.3,2.0,3.2,3.2,1.75,3.3,4.0,1.8,3.3,3.75
F1,2000-12-21,Lyon,St Etienne,2,1,H,1,0,H,1.6,3.3,5.5,1.6,3.2,4.2,1.61,3.25,5.0,1.62,3.25,5.0,1.72,3.1,4.5
F1,2000-12-21,Paris SG,Troyes,0,0,D,0,0,D,1.47,3.5,7.0,1.45,3.5,5.0,1.57,3.25,5.5,1.53,3.4,5.5,1.53,3.4,5.5
F1,2000-12-21,Rennes,Sedan,2,0,H,1,0,H,2.1,3.2,2.8,2.0,2.8,3.1,2.37,3.25,2.5,2.2,3.1,2.88,2.1,3.2,3.0
F1,2000-12-21,Toulouse,Guingamp,1,1,D,0,0,D,2.2,3.3,2.6,2.2,2.8,2.8,2.4,3.25,2.5,2.25,3.0,2.88,2.2,3.0,3.0
F1,2001-01-12,Lens,Lyon,0,0,D,0,0,D,2.1,3.0,3.2,2.2,2.7,2.9,2.2,3.0,3.0,2.2,2.88,3.1,2.2,3.0,3.0
F1,2001-01-13,Bastia,Strasbourg,3,1,H,1,1,D,1.47,3.6,6.0,1.45,3.5,5.0,1.5,3.4,6.0,1.5,3.4,6.0,1.4,3.7,7.0
F1,2001-01-13,Guingamp,Bordeaux,1,1,D,1,0,H,2.45,3.05,2.6,2.4,2.7,2.6,2.5,3.25,2.4,2.4,3.0,2.7,2.4,3.1,2.6
F1,2001-01-13,Marseille,Toulouse,1,1,D,0,0,D,1.5,3.2,6.0,1.55,3.2,4.8,1.5,3.4,6.0,1.5,3.4,6.0,1.5,3.4,6.0
F1,2001-01-13,Metz,Rennes,2,2,D,1,1,D,2.35,3.0,2.75,2.2,2.7,2.9,2.37,3.2,2.6,2.4,3.0,2.7,2.35,2.9,2.8
F1,2001-01-13,Monaco,Sedan,1,0,H,1,0,H,1.85,3.2,3.7,1.7,3.1,3.8,2.0,3.2,3.2,1.83,3.2,3.75,1.83,3.2,3.75
F1,2001-01-13,Nantes,Auxerre,1,1,D,0,1,A,1.6,3.3,4.8,1.65,3.1,4.0,1.5,3.4,6.0,1.62,3.25,5.0,1.57,3.25,5.5
F1,2001-01-13,St Etienne,Paris SG,1,0,H,0,0,D,2.15,3.0,3.1,2.2,2.8,2.8,2.4,3.25,2.5,2.25,3.1,2.8,2.2,3.1,2.87
F1,2001-01-13,Troyes,Lille,2,1,H,0,1,A,2.1,3.0,3.2,2.1,2.8,3.0,2.1,3.2,3.0,2.15,3.0,3.1,1.9,3.1,3.6
F1,2001-01-26,Bordeaux,Marseille,3,0,H,2,0,H,1.62,3.4,4.85,1.6,3.0,4.5,,,,1.62,3.25,5.0,1.61,3.25,5.0
F1,2001-01-27,Auxerre,Guingamp,1,1,D,0,0,D,1.92,3.05,3.65,1.85,2.9,3.4,2.0,3.2,3.2,1.91,3.1,3.6,1.9,3.0,3.75
F1,2001-01-27,Lille,St Etienne,4,1,H,3,1,H,1.62,3.25,5.1,1.7,3.0,4.0,1.61,3.25,5.0,1.67,3.2,4.75,1.65,3.1,5.0
F1,2001-01-27,Lyon,Nantes,3,1,H,1,0,H,1.97,3.1,3.45,2.0,2.7,3.2,2.0,3.2,3.2,1.91,3.1,3.6,1.9,3.1,3.6
